iso3,cow_code,name_common,un_code,is_un_member,region_un,region_wb,continent,is_anchor
AFG,700,Afghanistan,4,TRUE,Asia,South Asia,Asia,FALSE
AGO,540,Angola,24,TRUE,Africa,Sub-Saharan Africa,Africa,FALSE
ALB,339,Albania,8,TRUE,Europe,Europe & Central Asia,Europe,FALSE
AND,232,Andorra,20,TRUE,Europe,Europe & Central Asia,Europe,FALSE
ARE,696,United Arab Emirates,784,TRUE,Asia,Middle East & North Africa,Asia,FALSE
ARG,160,Argentina,32,TRUE,Americas,Latin America & Caribbean,Americas,FALSE
ARM,371,Armenia,51,TRUE,Asia,Europe & Central Asia,Asia,FALSE
ATG,58,Antigua & Barbuda,28,TRUE,Americas,Latin America & Caribbean,Americas,FALSE
AUS,900,Australia,36,TRUE,Oceania,East Asia & Pacific,Oceania,FALSE
AUT,305,Austria,40,TRUE,Europe,Europe & Central Asia,Europe,FALSE
AZE,373,Azerbaijan,31,TRUE,Asia,Europe & Central Asia,Asia,FALSE
BDI,516,Burundi,108,TRUE,Africa,Sub-Saharan Africa,Africa,FALSE
BEL,211,Belgium,56,TRUE,Europe,Europe & Central Asia,Europe,FALSE
BEN,434,Benin,204,TRUE,Africa,Sub-Saharan Africa,Africa,FALSE
BFA,439,Burkina Faso,854,TRUE,Africa,Sub-Saharan Africa,Africa,FALSE
BGD,771,Bangladesh,50,TRUE,Asia,South Asia,Asia,FALSE
BGR,355,Bulgaria,100,TRUE,Europe,Europe & Central Asia,Europe,FALSE
BHR,692,Bahrain,48,TRUE,Asia,Middle East & North Africa,Asia,FALSE
BHS,31,Bahamas,44,TRUE,Americas,Latin America & Caribbean,Americas,FALSE
BIH,346,Bosnia & Herzegovina,70,TRUE,Europe,Europe & Central Asia,Europe,FALSE
BLR,370,Belarus,112,TRUE,Europe,Europe & Central Asia,Europe,FALSE
BLZ,80,Belize,84,TRUE,Americas,Latin America & Caribbean,Americas,FALSE
BOL,145,Bolivia,68,TRUE,Americas,Latin America & Caribbean,Americas,FALSE
BRA,140,Brazil,76,TRUE,Americas,Latin America & Caribbean,Americas,FALSE
