year,cohesion,n_pairs,group,alignment_with US,alignment_with China
1965,0.8224561403508772,30,G7,0.8417105263157895,NA
1966,0.8156944260898933,30,G7,0.848466673903604,NA
1967,0.8074307011413929,30,G7,0.8358141160027952,NA
1968,0.7957789066279632,30,G7,0.8052612481857765,NA
1969,0.8227672056940349,30,G7,0.8353345841150719,NA
1970,0.8304546459279405,30,G7,0.8335528359060881,NA
1971,0.7866885751958452,30,G7,0.7786850977000023,0.5833333333333334
1972,0.8439028331277796,30,G7,0.8304652936689549,0.5740706273575541
1973,0.8299139971412248,42,G7,0.7883698654548694,0.5703947793500033
1974,0.8187830687830688,42,G7,0.7627314814814815,0.5336927223719676
1975,0.8316181640765136,42,G7,0.786113948473499,0.551559934318555
1976,0.8430928713898734,42,G7,0.7770918220356422,0.5390518943601136
1977,0.8600060836144353,42,G7,0.8183291390223443,0.5926191735287452
1978,0.8885989178280008,42,G7,0.8586956521739131,0.620876999448428
1979,0.8471036743454128,42,G7,0.8135593220338984,0.5531365514242227
1980,0.8504594820384294,42,G7,0.793859649122807,0.5518796992481203
1981,0.858527143654737,42,G7,0.7477698673481806,0.5374046923342698
1982,0.8246257743745181,42,G7,0.6496032350303707,0.5565648224607762
1983,0.8323906333338429,42,G7,0.6959427697907679,0.553415494472405
1984,0.8444822789959191,42,G7,0.7091554147147975,0.48555815768930527
1985,0.8327018152748615,42,G7,0.714957264957265,0.5033220097622908
1986,0.8318605792832597,42,G7,0.7087628865979381,0.4908783671571395
1987,0.8253314492026961,42,G7,0.655491255144033,0.5401217873495188
1988,0.8192514626677477,42,G7,0.6504466843777673,0.4934791120749375
1989,0.8238694758478932,42,G7,0.6287470023980816,0.5105820105820106
1990,0.8129627925053182,42,G7,0.6403833762886598,0.5297619047619048
1991,0.8374108679616425,42,G7,0.6540925607190667,0.5524412296564195
1992,0.8349185353153608,42,G7,0.6028439153439153,0.5983302411873841
1993,0.8477649077649078,42,G7,0.665975975975976,0.5300207039337475
1994,0.8454406498333271,42,G7,0.697447156571527,0.6035617499032133
1995,0.8499098021829363,42,G7,0.7125848394722795,0.5459105501240333
1996,0.8588784231641374,42,G7,0.6807794057794058,0.6085844121128804
1997,0.8492935635792779,42,G7,0.6639194139194139,0.6050420168067226
1998,0.8420489719017162,42,G7,0.6296296296296297,0.6648470577042005
1999,0.84664026432712,42,G7,0.6489386454753723,0.5767910607888526
2000,0.8311559733758475,42,G7,0.6075841828853877,0.6479765487212379
2001,0.8204276673862105,42,G7,0.5743790089973739,0.6194919347049165
2002,0.8184680208802293,42,G7,0.5157693852952994,0.5658482142857143
2003,0.7884143348060874,42,G7,0.5077319587628866,0.6037593984962406
2004,0.789642850822975,42,G7,0.48444218824653607,0.5736490101658641
2005,0.7812082547540469,42,G7,0.5030854647964796,0.6031515765558318
2006,0.7883116883116883,42,G7,0.49924242424242427,0.58994708994709
2007,0.745420843776107,42,G7,0.4548428362573099,0.5797872340425532
2008,0.7839301665832278,42,G7,0.5001202501202501,0.5818452380952381
2009,0.8220331543470101,42,G7,0.6507936507936508,0.5981208145908966
2010,0.8033126293995859,42,G7,0.644927536231884,0.6061105044024299
2011,0.8354549740688355,42,G7,0.7326732673267327,0.6363636363636364
2012,0.788257468204104,42,G7,0.6721562464151515,0.5668534567533102
2013,0.8238624441251937,42,G7,0.7197056356287653,0.6164512789688105
2014,0.793002915451895,42,G7,0.6726190476190477,0.5920471281296024
2015,0.8008185357009545,42,G7,0.7011758118701008,0.5495718534496846
2016,0.8437885346976256,42,G7,0.7611111111111111,0.570703281312525
2017,0.8104126031865064,42,G7,0.6459192600924885,0.5808390022675737
2018,0.7894712075311402,42,G7,0.5509499136442142,0.5600867146596858
2019,0.7989718614718615,42,G7,0.5700757575757576,0.5514950166112956
2020,0.8077995904813481,42,G7,0.6337708523198968,0.5127845779092731
2021,0.8677025313071287,42,G7,0.7806983748949285,0.4792697548264709
2022,0.9035750662693668,42,G7,0.843297462468447,0.45609335839598997
2023,0.8928571428571429,42,G7,0.8372844827586207,0.4301242236024845
2024,0.858719407234808,42,G7,0.7369323805271073,0.4770251274578192
1965,0.5762254901960784,12,BRICS,0.6404411764705882,NA
1966,0.5332741792369121,12,BRICS,0.5703194321206744,NA
1967,0.5273998488284203,12,BRICS,0.5415249433106576,NA
1968,0.48984091072326363,12,BRICS,0.5318707490252995,NA
1969,0.5410097001763668,12,BRICS,0.5790858870127162,NA
1970,0.4856034029421126,12,BRICS,0.5505104759137017,NA
1971,0.6369157822467476,20,BRICS,0.6015246123311402,0.6713209219858156
1972,0.650997674810092,20,BRICS,0.6050833890188217,0.7063632346442775
1973,0.63571084794265,20,BRICS,0.5816055446172326,0.6982443241875363
1974,0.5071267815302222,20,BRICS,0.5283033842467805,0.6016463189049205
1975,0.8096437539234149,12,BRICS,0.4528093434343434,0.8183615819209039
1976,0.8261971427294008,12,BRICS,0.4287604951228547,0.8412162162162162
1977,0.8334796028968875,12,BRICS,0.49942256543116986,0.8615371055878723
1978,0.8081345229466085,12,BRICS,0.5590106001719274,0.860490925708317
1979,0.8186434735552931,12,BRICS,0.4146170792375603,0.8656987587626214
1980,0.8395086166744294,12,BRICS,0.36247671169073126,0.8789473684210527
1981,0.8694965419469067,12,BRICS,0.3255744982678912,0.8909102764736567
1982,0.8515969661777171,12,BRICS,0.27256210476684234,0.8746023211005063
1983,0.8461649543249633,12,BRICS,0.29265618230141877,0.871770412489401
1984,0.849232976303727,12,BRICS,0.24872607125056653,0.8721501631337697
1985,0.8794580700055713,12,BRICS,0.26037964275035425,0.8944919616694386
1986,0.8853124933021841,12,BRICS,0.25228012078972,0.9027027027027027
1987,0.929658000413127,12,BRICS,0.2519742944707882,0.9340464913713321
1988,0.938986579264357,12,BRICS,0.21261460602759621,0.9474830724830725
1989,0.9376811202765146,12,BRICS,0.21924841079517338,0.9421659404502543
1990,0.9398077529981065,12,BRICS,0.24030820446735396,0.9379295532646048
1991,0.8507053032183337,12,BRICS,0.33719484629294755,0.8718354430379747
1992,0.8014069264069263,12,BRICS,0.35497835497835495,0.829004329004329
1993,0.7737955083626527,12,BRICS,0.380400509204857,0.7935493037794827
