year,within_cohesion,within_cohesion_sd,bloc,alignment_with_US,alignment_with_China,US_minus_China
1990,0.8723151817405361,0.081846809899323,G7,0.9002194131541041,0.2150638793190937,0.6851555338350104
1991,0.9094790943392961,0.05269135284240792,G7,0.9092107568555844,0.18615047187826037,0.723060284977324
1992,0.8794795097895824,0.07606081499572782,G7,0.7966838810483311,0.33572503480851684,0.46095884623981426
1993,0.8634281347765143,0.08305483228123671,G7,0.8645253101674872,0.2200637265644915,0.6444615836029958
1994,0.8014795135401973,0.10399699823013864,G7,0.7840752638114326,0.2307030565736457,0.5533722072377868
1995,0.8847634790589401,0.06256770975458947,G7,0.9059015829191119,0.4073585844259244,0.4985429984931875
1996,0.8835762719689919,0.08051343595730062,G7,0.7900068228626212,0.2672325630549114,0.5227742598077099
1997,0.8473768730260404,0.11206648951530528,G7,0.7170535961293334,0.3159909673144462,0.40106262881488713
1998,0.8108113812781154,0.1282126606539129,G7,0.6515091441919926,0.42918054839366676,0.22232859579832584
1999,0.904072255300285,0.052995875845067784,G7,0.8957734320101495,0.34819030159938713,0.5475831304107623
2000,0.9393949362483345,0.04022817022562712,G7,0.8916497419566448,0.6351252562185068,0.256524485738138
2001,0.8974939093309101,0.08977135136136316,G7,0.7682549051383473,0.49847025297104675,0.2697846521673005
2002,0.8913113772885674,0.11635012598128043,G7,0.7162032844312403,0.5250489970986139,0.1911542873326264
2003,0.890432883506611,0.09646671121262412,G7,0.7520625035703904,0.4384069041400868,0.31365559943030363
2004,0.9019545238814268,0.10676042213874307,G7,0.7401530690425867,0.4722594660551808,0.26789360298740594
2005,0.8722860606091305,0.13867835298946282,G7,0.6609953668615685,0.4236665409608639,0.23732882590070462
2006,0.8876025900039148,0.11859902541597467,G7,0.7085153541905016,0.37590614375542486,0.3326092104350768
2007,0.8623559543405677,0.1183373686551816,G7,0.6920925673315893,0.414842662272676,0.2772499050589133
2008,0.8055443073350373,0.1772707621586946,G7,0.5453717389746096,0.4323590933708565,0.11301264560375313
2009,0.8803648137444405,0.08122636416417812,G7,0.8039792887595397,0.4551397897382527,0.348839499021287
2010,0.8820148190700686,0.06542182265567097,G7,0.8330764512507787,0.5465226860003598,0.2865537652504189
2011,0.8801674610603205,0.10963703658423643,G7,0.8975289649258198,0.4545147668237312,0.4430141981020886
2012,0.7909404539679274,0.1452805882369996,G7,0.7943088282315438,0.35917526403997735,0.43513356419156646
2013,0.7981983395695266,0.1769311814927423,G7,0.8403014880337909,0.33942151759663386,0.5008799704371569
2014,0.7590773037753735,0.1614736561030216,G7,0.767432312442798,0.2817991553879733,0.4856331570548246
2015,0.8065887702385641,0.1418461860705542,G7,0.8554513348918538,0.3332302381965491,0.5222210966953047
2016,0.8506153723232335,0.10735694014518503,G7,0.8750635520115659,0.34900294369115453,0.5260606083204115
2017,0.9073782525130494,0.08980644356443736,G7,0.927332657494892,0.45120065955818334,0.4761319979367087
2018,0.8339137884929952,0.12293007894193156,G7,0.6725717034101507,0.372432281820031,0.3001394215901197
2019,0.8696562517755893,0.1065908528479119,G7,0.7575136970847944,0.29570187355524186,0.46181182352955263
2020,0.9307695376905529,0.052123150506388063,G7,0.9439053061296488,0.3938682835197111,0.5500370226099378
2021,0.8676000055358,0.09563160223742183,G7,0.7459373680088589,0.28006031305011014,0.4658770549587488
2022,0.8841087934477407,0.09870390562348841,G7,0.7393371537560414,0.3492188775997261,0.3901182761563153
2023,0.8535772369557251,0.12130537852532546,G7,0.6811169704359219,0.3219509596410924,0.3591660107948295
2024,0.8617688340903572,0.09718100926600408,G7,0.7272240961887072,0.2208809317571042,0.506343164431603
1990,0.8746349390288334,0.057721810891509885,BRICS,0.21373610778722324,0.9023039149315576,-0.6885678071443344
1991,0.8016108198645023,0.10402078428454464,BRICS,0.24384949334233036,0.8268619342028148,-0.5830124408604845
1992,0.7633719772287414,0.17714887179368682,BRICS,0.3057837128736187,0.812050783940348,-0.5062670710667293
1993,0.6962802885166136,0.21735742598367352,BRICS,0.3182537607489797,0.7138554716399227,-0.395601710890943
1994,0.6983108770782536,0.18866781903784854,BRICS,0.28543922783969033,0.7423030512433881,-0.4568638234036978
1995,0.7630973606197003,0.15572625809762936,BRICS,0.5338444529357733,0.7912442925085655,-0.2573998395727922
1996,0.7894694447550735,0.11233108344144116,BRICS,0.30021328515873413,0.7915073199846303,-0.49129403482589623
1997,0.7775154012214586,0.11596427376634008,BRICS,0.3134153305048136,0.7917783018614222,-0.47836297135660855
1998,0.7989628863973727,0.11687170662009513,BRICS,0.31533223117531095,0.8322629538757716,-0.5169307227004607
1999,0.8407527410290908,0.06972135239800183,BRICS,0.4239603223911981,0.8446794089997456,-0.4207190866085474
2000,0.9509625691673764,0.03617264081109471,BRICS,0.6239254400853492,0.9134307128152868,-0.28950527272993754
2001,0.8982303312883854,0.03998064457888667,BRICS,0.48258363521113057,0.8794196499478848,-0.39683601473675423
2002,0.9089022883389749,0.04593340637044393,BRICS,0.4960760797949074,0.898823473057707,-0.4027473932627997
2003,0.9120855667567394,0.05343487631084251,BRICS,0.327944843806531,0.862412279090879,-0.534467435284348
2004,0.9148579755959867,0.04558863238528887,BRICS,0.3686843380842485,0.882838170151385,-0.5141538320671364
2005,0.9152525717778259,0.04484599636370695,BRICS,0.26084189574845895,0.873133927934349,-0.61229203218589
2006,0.9295651193580308,0.038491815737842626,BRICS,0.21380402267076226,0.8995752194906629,-0.6857711968199006
2007,0.9339008195981883,0.039254810378698934,BRICS,0.24025207475038682,0.9032403481402251,-0.6629882733898383
2008,0.9148310098977116,0.03755870877575496,BRICS,0.25694873581721034,0.8897495538166889,-0.6328008179994786
2009,0.9108229187617775,0.04383734022615811,BRICS,0.474332801390947,0.8846972727620878,-0.41036447137114074
2010,0.9208281374047101,0.03502280527067589,BRICS,0.5668505080903277,0.9016278441344662,-0.3347773360441385
2011,0.9300418372072966,0.027977790291733345,BRICS,0.5154152565980119,0.9220022493904795,-0.4065869927924675
2012,0.9004557498841316,0.05583575017589877,BRICS,0.37219680019013146,0.9090448491698998,-0.5368480489797683
2013,0.853569980606873,0.08365621917172719,BRICS,0.41113892059457796,0.8647620343121599,-0.4536231137175819
2014,0.8390262224220685,0.0828905238822778,BRICS,0.36580412719134703,0.8383634408745899,-0.4725593136832429
2015,0.861518176103609,0.09433111956772455,BRICS,0.42320984983994736,0.9005499995255266,-0.4773401496855792
2016,0.7460906735727421,0.16402680491982327,BRICS,0.3941978768059383,0.8137438050501675,-0.4195459282442292
2017,0.8476900450838255,0.10736886086234954,BRICS,0.35795442134956773,0.8726036123430029,-0.5146491909934352
2018,0.7324668675573225,0.15265381526873806,BRICS,0.2645762798937955,0.763261930980326,-0.4986856510865305
2019,0.6470122880492687,0.18701416490094225,BRICS,0.27764133925264695,0.6790804457523653,-0.40143910649971837
2020,0.7137347894654765,0.14197600840434266,BRICS,0.45527486625166946,0.723512498546306,-0.2682376322946365
2021,0.6554431376979735,0.17391451388551823,BRICS,0.3047014621905626,0.6773594967697063,-0.37265803457914376
2022,0.7908194372718143,0.0941663522043084,BRICS,0.4419213855534758,0.8077777896740566,-0.3658564041205807
2023,0.6486995090012808,0.19248633727726555,BRICS,0.29591328927357174,0.6788743092648283,-0.38296101999125653
2024,0.7460207812912166,0.18124436347076783,BRICS,0.2712146797899915,0.7611051868358994,-0.4898905070459079
1990,0.8140067681023254,0.12960289752893822,NATO,0.7668955573342363,0.3715731995796086,0.3953223577546277
1991,0.8815379766111795,0.07725459847892135,NATO,0.83343222228818,0.26611935065029274,0.5673128716378872
1992,0.9164788047285837,0.06721857258013725,NATO,0.760554632543827,0.3740538864313123,0.3865007461125147
1993,0.8861613332352429,0.07401505917037433,NATO,0.8205157317144952,0.2650972281054688,0.5554185036090264
1994,0.8849809314035016,0.08344784907338725,NATO,0.7464097947204864,0.26021176001722923,0.4861980347032572
1995,0.9215162295351789,0.048574099486813405,NATO,0.9293410285424677,0.40607994998820485,0.5232610785542628
1996,0.9230511447522762,0.06388027230087077,NATO,0.8101785402264928,0.2585254598026733,0.5516530804238194
1997,0.9226868898933643,0.07534590173027071,NATO,0.7485941847963654,0.30375486770915927,0.44483931708720614
1998,0.9264370348552701,0.0785331639665092,NATO,0.6767753859535053,0.41741941367932117,0.25935597227418417
1999,0.9229292281685388,0.07973672970171981,NATO,0.9036181706575149,0.3577770397302018,0.5458411309273131
2000,0.9587067407015301,0.03740629521355981,NATO,0.8962628373426725,0.6225664284165534,0.27369640892611913
2001,0.9442498781859947,0.06358898840839239,NATO,0.7922410899030669,0.48868294039075394,0.3035581495123129
2002,0.9530344356015874,0.07441439392346673,NATO,0.7318575800741249,0.5217242553013994,0.2101333247727255
2003,0.9572159959480326,0.06193997528323485,NATO,0.7583998882957743,0.4323074288106548,0.3260924594851195
2004,0.9588376242415526,0.0647988457042765,NATO,0.7451962287272214,0.46628071019305933,0.27891551853416197
2005,0.9432207657650311,0.08564699319191747,NATO,0.6665037569127611,0.4168325680979541,0.24967118881480704
2006,0.9589252715502775,0.07324287521115161,NATO,0.7028902037287392,0.37789811371042015,0.32499209001831914
2007,0.9524024567813998,0.07814321013638846,NATO,0.6803118759511304,0.421717629831448,0.2585942461196824
2008,0.9369204420268505,0.11285070613177431,NATO,0.532638270684825,0.43268715846737416,0.09995111221745091
2009,0.9552678688410524,0.06262708588977292,NATO,0.7838091841748231,0.45811413697255216,0.32569504720227105
2010,0.9472369040104394,0.056656324975542044,NATO,0.8054914082474413,0.5540123108265759,0.2514790974208653
