iso3_1,iso3_2,year,dbn_structural
AUS,BRA,2010,0.3795186757487109
AUS,CAN,2010,0.953097221171521
AUS,CHN,2010,0.30777204069689795
AUS,DEU,2010,0.9192372545157066
AUS,FRA,2010,0.8951354489470482
AUS,GBR,2010,0.8960953604297017
AUS,IND,2010,0.24305169358816608
AUS,ITA,2010,0.9217803368358992
AUS,JPN,2010,0.8757235586028211
AUS,KOR,2010,0.8594198316004243
AUS,RUS,2010,0.37947292927437115
AUS,TUR,2010,0.7805911676666359
AUS,USA,2010,0.8207540306383138
AUS,ZAF,2010,0.37802730360964903
BRA,CAN,2010,0.31684402322148997
BRA,CHN,2010,0.9743468958344184
BRA,DEU,2010,0.532142281044897
BRA,FRA,2010,0.3643184812048397
BRA,GBR,2010,0.30481502875873234
BRA,IND,2010,0.9611274899623513
BRA,ITA,2010,0.547395743543047
BRA,JPN,2010,0.6675388682061307
BRA,KOR,2010,0.68490014360991
BRA,RUS,2010,0.9815139977434201
BRA,TUR,2010,0.7910676922809191
BRA,USA,2010,0.06976955624728665
BRA,ZAF,2010,0.9653527750960569
CAN,CHN,2010,0.24362616866534043
CAN,DEU,2010,0.8886569339914552
CAN,FRA,2010,0.8815715906730792
CAN,GBR,2010,0.8946430841549101
CAN,IND,2010,0.18026152913678023
CAN,ITA,2010,0.882344052038871
CAN,JPN,2010,0.8226178394391905
CAN,KOR,2010,0.8022686348598189
CAN,RUS,2010,0.30621756241699283
CAN,TUR,2010,0.7121058210494211
CAN,USA,2010,0.8705669007072372
CAN,ZAF,2010,0.30760129012655724
CHN,DEU,2010,0.4646720405156533
CHN,FRA,2010,0.3112430658998117
CHN,GBR,2010,0.24583219123419603
CHN,IND,2010,0.9837594000315403
CHN,ITA,2010,0.47134659454808797
CHN,JPN,2010,0.5940786603832684
CHN,KOR,2010,0.628520293722278
CHN,RUS,2010,0.9767731742219603
CHN,TUR,2010,0.7319748502966811
CHN,USA,2010,0.030217994838465045
CHN,ZAF,2010,0.9824866625108494
DEU,FRA,2010,0.9223208922366604
DEU,GBR,2010,0.8928152286479818
DEU,IND,2010,0.4006511672466857
DEU,ITA,2010,0.9338788237560176
DEU,JPN,2010,0.9464146492783454
DEU,KOR,2010,0.9417968622979797
DEU,RUS,2010,0.5541150121798778
DEU,TUR,2010,0.9046394526463735
DEU,USA,2010,0.6891078109127171
DEU,ZAF,2010,0.5378468838135421
FRA,GBR,2010,0.9566423250335743
FRA,IND,2010,0.2612775966851377
FRA,ITA,2010,0.909277515039282
FRA,JPN,2010,0.8564252003511033
FRA,KOR,2010,0.846169248384639
FRA,RUS,2010,0.4037781078616657
FRA,TUR,2010,0.7792467480177674
FRA,USA,2010,0.8133392252910954
FRA,ZAF,2010,0.37256500531820524
GBR,IND,2010,0.2035697230389243
GBR,ITA,2010,0.8859973867102091
GBR,JPN,2010,0.812721452810692
GBR,KOR,2010,0.7909976621979666
GBR,RUS,2010,0.337822708288434
GBR,TUR,2010,0.7285510726156506
GBR,USA,2010,0.8642522405896075
GBR,ZAF,2010,0.3052961328342777
IND,ITA,2010,0.39986396701656407
IND,JPN,2010,0.5303420434837803
IND,KOR,2010,0.5522512902666101
IND,RUS,2010,0.9578090267710446
IND,TUR,2010,0.6670871619415925
IND,USA,2010,0.014276639632757049
IND,ZAF,2010,0.9652460875032436
ITA,JPN,2010,0.9433329827963775
ITA,KOR,2010,0.934529612057823
ITA,RUS,2010,0.5653634457319537
ITA,TUR,2010,0.8976106599531382
ITA,USA,2010,0.6823682871401919
ITA,ZAF,2010,0.5397887637018964
JPN,KOR,2010,0.9495404969821292
JPN,RUS,2010,0.6924269652562521
JPN,TUR,2010,0.9604220880807355
JPN,USA,2010,0.5562767162304109
JPN,ZAF,2010,0.6722498938011782
KOR,RUS,2010,0.6984035502526124
KOR,TUR,2010,0.9632063309096625
KOR,USA,2010,0.5275347373004201
KOR,ZAF,2010,0.6929168240806604
RUS,TUR,2010,0.8124176912993144
RUS,USA,2010,0.07373528531180146
RUS,ZAF,2010,0.9840924986209989
TUR,USA,2010,0.4181623557366161
TUR,ZAF,2010,0.7923175702598624
USA,ZAF,2010,0.0629189859398584
AUS,BRA,2013,0.34549944226936236
AUS,CAN,2013,0.8900586276514563
AUS,CHN,2013,0.303772331864184
AUS,DEU,2013,0.9325061633972629
AUS,FRA,2013,0.941423743509149
AUS,GBR,2013,0.9422327646767175
AUS,IND,2013,0.25639006740187553
AUS,ITA,2013,0.9225217395914621
AUS,JPN,2013,0.9278262394240147
AUS,KOR,2013,0.9208310136247856
AUS,RUS,2013,0.3703171933374495
AUS,TUR,2013,0.8842105121587864
AUS,USA,2013,0.8301967768056925
AUS,ZAF,2013,0.35518273380915766
BRA,CAN,2013,0.11874969455504164
BRA,CHN,2013,0.9737518423957834
BRA,DEU,2013,0.4749411135309193
BRA,FRA,2013,0.39257900696447035
BRA,GBR,2013,0.353039283243718
BRA,IND,2013,0.9741956013389659
BRA,ITA,2013,0.48121897992920526
BRA,JPN,2013,0.529335935744339
BRA,KOR,2013,0.5505988940548989
BRA,RUS,2013,0.9818074310644669
BRA,TUR,2013,0.6379628199391613
BRA,USA,2013,0.05408642129041613
BRA,ZAF,2013,0.9722697570400654
CAN,CHN,2013,0.09426623672294049
CAN,DEU,2013,0.7780861282549909
CAN,FRA,2013,0.8195360890541854
